"Building permits, by type of structure and type of work (x 1,000) 1 2 3"
"Frequency: Monthly"
"Table: 34-10-0285-01"
"Release date: 2025-02-11"
"Geography: Canada, Province or territory, Census metropolitan area, Census agglomeration, Census metropolitan area part"
""
""

"Seasonal adjustment, value type 4 5","Unadjusted, current",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Geography","Canada",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Type of work 6","Types of work, total",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Variables","Value of permits",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Type of building","January 2017","February 2017","March 2017","April 2017","May 2017","June 2017","July 2017","August 2017","September 2017","October 2017","November 2017","December 2017","January 2018","February 2018","March 2018","April 2018","May 2018","June 2018","July 2018","August 2018","September 2018","October 2018","November 2018","December 2018","January 2019","February 2019","March 2019","April 2019","May 2019","June 2019","July 2019","August 2019","September 2019","October 2019","November 2019","December 2019","January 2020","February 2020","March 2020","April 2020","May 2020","June 2020","July 2020","August 2020","September 2020","October 2020","November 2020","December 2020","January 2021","February 2021","March 2021","April 2021","May 2021","June 2021","July 2021","August 2021","September 2021","October 2021","November 2021","December 2021","January 2022","February 2022","March 2022","April 2022","May 2022","June 2022","July 2022","August 2022","September 2022","October 2022","November 2022","December 2022","January 2023","February 2023","March 2023","April 2023","May 2023","June 2023","July 2023","August 2023","September 2023","October 2023","November 2023","December 2023","January 2024","February 2024","March 2024","April 2024","May 2024","June 2024","July 2024","August 2024","September 2024","October 2024","November 2024","December 2024"



Footnotes:
1,"The Building permits survey covers all Canadian municipalities that issue permits. The number of Canadian municipalities currently surveyed is approximately 2,400, representing all the provinces and territories. They account for 95% of the Canadian population. Historically, the data are not strictly comparable due to the continuing improvement in coverage and the modifications to the geographical areas required to reflect the most recent census definitions."
2,"For historical data see table 34100066."
3,"Data processing methodology has been updated as of January 2018. Comparisons between the previous data and the subsequent data should be used with caution."
4,"The sum may not add up to the total due to rounding."
5,"Data for the provincial totals can not be reconciled because data at the census agglomerations and census subdivision levels is not publish in this table."
6,"Detailed information for all types of work may not be available for all regions, as permit regulations and requirements vary by municipality."



"How to cite: Statistics Canada. Table 34-10-0285-01  Building permits, by type of structure and type of work (x 1,000)"
https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=3410028501
